ArmModuleId: 	1 	Time: 	3444966 	P0: 	90 	P1: 	90 	I0: 	0.1 	I1: 	0.1 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3372394429 	time_after_control_loop: 	3372430743 	T_diff: 	36314 	AngleAxisMust1: 	183.45 	AngleAxisMust0: 	179.893 	AngleWheelMust1: 	183.399 	AngleWheelMust0: 	183.501 	AngleAxisIs1: 	185.94 	AngleAxisIs0: 	184.14 	AngleWheelIs1: 	183.962 	AngleWheelIs0: 	187.918 	PositionError1: 	-0.460648 	PositionError0: 	-4.51944 	CurrentMust0: 	-441 	CurrentIs0: 	-436 	CurrentMust1: 	0 	CurrentIs1: 	5 	
ArmModuleId: 	0 	Time: 	3541685 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3372491138 	time_after_control_loop: 	3372517908 	T_diff: 	26770 	AngleAxisMust1: 	175.823 	AngleAxisMust0: 	181.952 	AngleWheelMust1: 	176.756 	AngleWheelMust0: 	174.89 	AngleAxisIs1: 	173.25 	AngleAxisIs0: 	180.72 	AngleWheelIs1: 	172.906 	AngleWheelIs0: 	173.594 	PositionError1: 	1.98384 	PositionError0: 	3.16125 	CurrentMust0: 	974 	CurrentIs0: 	991 	CurrentMust1: 	-797 	CurrentIs1: 	-796 	
ArmModuleId: 	1 	Time: 	3599110 	P0: 	90 	P1: 	90 	I0: 	0.1 	I1: 	0.1 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3372548580 	time_after_control_loop: 	3372576330 	T_diff: 	27750 	AngleAxisMust1: 	183.679 	AngleAxisMust0: 	180.14 	AngleWheelMust1: 	183.746 	AngleWheelMust0: 	183.612 	AngleAxisIs1: 	185.76 	AngleAxisIs0: 	180.63 	AngleWheelIs1: 	185.459 	AngleWheelIs0: 	186.061 	PositionError1: 	-1.84677 	PositionError0: 	-2.31593 	CurrentMust0: 	-296 	CurrentIs0: 	-630 	CurrentMust1: 	141 	CurrentIs1: 	166 	
ArmModuleId: 	0 	Time: 	3679287 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3372628741 	time_after_control_loop: 	3372656275 	T_diff: 	27534 	AngleAxisMust1: 	176.087 	AngleAxisMust0: 	182.187 	AngleWheelMust1: 	177.133 	AngleWheelMust0: 	175.042 	AngleAxisIs1: 	173.25 	AngleAxisIs0: 	180.63 	AngleWheelIs1: 	172.949 	AngleWheelIs0: 	173.551 	PositionError1: 	2.09317 	PositionError0: 	3.58066 	CurrentMust0: 	1037 	CurrentIs0: 	1035 	CurrentMust1: 	-813 	CurrentIs1: 	-833 	
ArmModuleId: 	1 	Time: 	3737784 	P0: 	90 	P1: 	90 	I0: 	0.1 	I1: 	0.1 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3372687293 	time_after_control_loop: 	3372713902 	T_diff: 	26609 	AngleAxisMust1: 	183.905 	AngleAxisMust0: 	180.383 	AngleWheelMust1: 	184.088 	AngleWheelMust0: 	183.722 	AngleAxisIs1: 	180.99 	AngleAxisIs0: 	174.6 	AngleWheelIs1: 	183.57 	AngleWheelIs0: 	178.41 	PositionError1: 	0.151672 	PositionError0: 	5.67772 	CurrentMust0: 	446 	CurrentIs0: 	475 	CurrentMust1: 	-26 	CurrentIs1: 	-35 	
ArmModuleId: 	0 	Time: 	3817494 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3372766947 	time_after_control_loop: 	3372794206 	T_diff: 	27259 	AngleAxisMust1: 	176.354 	AngleAxisMust0: 	182.424 	AngleWheelMust1: 	177.512 	AngleWheelMust0: 	175.196 	AngleAxisIs1: 	173.07 	AngleAxisIs0: 	180.72 	AngleWheelIs1: 	172.726 	AngleWheelIs0: 	173.414 	PositionError1: 	2.46992 	PositionError0: 	4.09755 	CurrentMust0: 	1114 	CurrentIs0: 	1124 	CurrentMust1: 	-870 	CurrentIs1: 	-892 	
ArmModuleId: 	1 	Time: 	3870894 	P0: 	90 	P1: 	90 	I0: 	0.1 	I1: 	0.1 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3372820373 	time_after_control_loop: 	3372847058 	T_diff: 	26685 	AngleAxisMust1: 	184.133 	AngleAxisMust0: 	180.628 	AngleWheelMust1: 	184.434 	AngleWheelMust0: 	183.833 	AngleAxisIs1: 	180.54 	AngleAxisIs0: 	173.52 	AngleWheelIs1: 	183.636 	AngleWheelIs0: 	177.444 	PositionError1: 	0.196426 	PositionError0: 	6.98923 	CurrentMust0: 	648 	CurrentIs0: 	379 	CurrentMust1: 	-32 	CurrentIs1: 	-41 	
ArmModuleId: 	0 	Time: 	3951986 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3372901448 	time_after_control_loop: 	3372933315 	T_diff: 	31867 	AngleAxisMust1: 	176.631 	AngleAxisMust0: 	182.669 	AngleWheelMust1: 	177.906 	AngleWheelMust0: 	175.355 	AngleAxisIs1: 	173.16 	AngleAxisIs0: 	180.72 	AngleWheelIs1: 	172.816 	AngleWheelIs0: 	173.504 	PositionError1: 	2.53908 	PositionError0: 	4.4008 	CurrentMust0: 	1160 	CurrentIs0: 	1161 	CurrentMust1: 	-880 	CurrentIs1: 	-892 	
ArmModuleId: 	1 	Time: 	4010173 	P0: 	90 	P1: 	90 	I0: 	0.1 	I1: 	0.1 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3372959649 	time_after_control_loop: 	3372987845 	T_diff: 	28196 	AngleAxisMust1: 	184.37 	AngleAxisMust0: 	180.883 	AngleWheelMust1: 	184.791 	AngleWheelMust0: 	183.948 	AngleAxisIs1: 	183.33 	AngleAxisIs0: 	178.38 	AngleWheelIs1: 	184.104 	AngleWheelIs0: 	182.556 	PositionError1: 	-0.156631 	PositionError0: 	2.23463 	CurrentMust0: 	284 	CurrentIs0: 	-166 	CurrentMust1: 	-1 	CurrentIs1: 	-8 	
ArmModuleId: 	0 	Time: 	4096743 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3373046202 	time_after_control_loop: 	3373073281 	T_diff: 	27079 	AngleAxisMust1: 	176.934 	AngleAxisMust0: 	182.938 	AngleWheelMust1: 	178.338 	AngleWheelMust0: 	175.53 	AngleAxisIs1: 	173.34 	AngleAxisIs0: 	180.27 	AngleWheelIs1: 	173.211 	AngleWheelIs0: 	173.469 	PositionError1: 	2.31908 	PositionError0: 	4.86826 	CurrentMust0: 	1230 	CurrentIs0: 	1227 	CurrentMust1: 	-847 	CurrentIs1: 	-840 	
