ArmModuleId: 	1 	Time: 	3609207 	P0: 	90 	P1: 	90 	I0: 	0.2 	I1: 	0.2 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3166602549 	time_after_control_loop: 	3166636114 	T_diff: 	33565 	AngleAxisMust1: 	146.433 	AngleAxisMust0: 	110.451 	AngleWheelMust1: 	113.2 	AngleWheelMust0: 	179.666 	AngleAxisIs1: 	148.59 	AngleAxisIs0: 	115.38 	AngleWheelIs1: 	179.468 	AngleWheelIs0: 	117.712 	PositionError1: 	0.198792 	PositionError0: 	-4.51269 	CurrentMust0: 	-411 	CurrentIs0: 	-379 	CurrentMust1: 	-80 	CurrentIs1: 	-68 	
ArmModuleId: 	0 	Time: 	3702411 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	7 	D1: 	7 	time_before_control_loop: 	3166695741 	time_after_control_loop: 	3166728074 	T_diff: 	32333 	AngleAxisMust1: 	137.338 	AngleAxisMust0: 	145.407 	AngleWheelMust1: 	120.809 	AngleWheelMust0: 	153.868 	AngleAxisIs1: 	133.11 	AngleAxisIs0: 	147.78 	AngleWheelIs1: 	148.506 	AngleWheelIs0: 	117.714 	PositionError1: 	5.36179 	PositionError0: 	3.09364 	CurrentMust0: 	964 	CurrentIs0: 	950 	CurrentMust1: 	-1304 	CurrentIs1: 	-1289 	
ArmModuleId: 	1 	Time: 	3761851 	P0: 	90 	P1: 	90 	I0: 	0.2 	I1: 	0.2 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3166755210 	time_after_control_loop: 	3166782923 	T_diff: 	27713 	AngleAxisMust1: 	146.609 	AngleAxisMust0: 	110.814 	AngleWheelMust1: 	113.549 	AngleWheelMust0: 	179.668 	AngleAxisIs1: 	146.97 	AngleAxisIs0: 	112.41 	AngleWheelIs1: 	179.267 	AngleWheelIs0: 	114.673 	PositionError1: 	0.401382 	PositionError0: 	-1.12456 	CurrentMust0: 	-192 	CurrentIs0: 	-304 	CurrentMust1: 	-107 	CurrentIs1: 	-142 	
ArmModuleId: 	0 	Time: 	3847606 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	7 	D1: 	7 	time_before_control_loop: 	3166840926 	time_after_control_loop: 	3166871055 	T_diff: 	30129 	AngleAxisMust1: 	137.564 	AngleAxisMust0: 	145.59 	AngleWheelMust1: 	121.122 	AngleWheelMust0: 	154.006 	AngleAxisIs1: 	133.11 	AngleAxisIs0: 	147.69 	AngleWheelIs1: 	148.549 	AngleWheelIs0: 	117.671 	PositionError1: 	5.45731 	PositionError0: 	3.45039 	CurrentMust0: 	1017 	CurrentIs0: 	1002 	CurrentMust1: 	-1318 	CurrentIs1: 	-1281 	
ArmModuleId: 	1 	Time: 	3902769 	P0: 	90 	P1: 	90 	I0: 	0.2 	I1: 	0.2 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3166896105 	time_after_control_loop: 	3166922069 	T_diff: 	25964 	AngleAxisMust1: 	146.786 	AngleAxisMust0: 	111.181 	AngleWheelMust1: 	113.902 	AngleWheelMust0: 	179.67 	AngleAxisIs1: 	145.98 	AngleAxisIs0: 	110.34 	AngleWheelIs1: 	179.266 	AngleWheelIs0: 	112.694 	PositionError1: 	0.404007 	PositionError0: 	1.20675 	CurrentMust0: 	18 	CurrentIs0: 	19 	CurrentMust1: 	-119 	CurrentIs1: 	-82 	
ArmModuleId: 	0 	Time: 	3983650 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	7 	D1: 	7 	time_before_control_loop: 	3166976976 	time_after_control_loop: 	3167005327 	T_diff: 	28351 	AngleAxisMust1: 	137.784 	AngleAxisMust0: 	145.768 	AngleWheelMust1: 	121.427 	AngleWheelMust0: 	154.141 	AngleAxisIs1: 	133.02 	AngleAxisIs0: 	147.78 	AngleWheelIs1: 	148.416 	AngleWheelIs0: 	117.624 	PositionError1: 	5.7247 	PositionError0: 	3.80185 	CurrentMust0: 	1070 	CurrentIs0: 	1068 	CurrentMust1: 	-1358 	CurrentIs1: 	-1362 	
ArmModuleId: 	1 	Time: 	4037739 	P0: 	90 	P1: 	90 	I0: 	0.2 	I1: 	0.2 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3167031093 	time_after_control_loop: 	3167067459 	T_diff: 	36366 	AngleAxisMust1: 	146.958 	AngleAxisMust0: 	111.537 	AngleWheelMust1: 	114.244 	AngleWheelMust0: 	179.672 	AngleAxisIs1: 	145.71 	AngleAxisIs0: 	110.16 	AngleWheelIs1: 	179.082 	AngleWheelIs0: 	112.338 	PositionError1: 	0.589706 	PositionError0: 	1.90456 	CurrentMust0: 	123 	CurrentIs0: 	122 	CurrentMust1: 	-149 	CurrentIs1: 	-142 	
ArmModuleId: 	0 	Time: 	4128906 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	7 	D1: 	7 	time_before_control_loop: 	3167122235 	time_after_control_loop: 	3167152801 	T_diff: 	30566 	AngleAxisMust1: 	138.04 	AngleAxisMust0: 	145.976 	AngleWheelMust1: 	121.783 	AngleWheelMust0: 	154.298 	AngleAxisIs1: 	133.02 	AngleAxisIs0: 	147.78 	AngleWheelIs1: 	148.416 	AngleWheelIs0: 	117.624 	PositionError1: 	5.88181 	PositionError0: 	4.15767 	CurrentMust0: 	1123 	CurrentIs0: 	1134 	CurrentMust1: 	-1382 	CurrentIs1: 	-1377 	
ArmModuleId: 	1 	Time: 	4186888 	P0: 	90 	P1: 	90 	I0: 	0.2 	I1: 	0.2 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3167180232 	time_after_control_loop: 	3167208363 	T_diff: 	28131 	AngleAxisMust1: 	147.158 	AngleAxisMust0: 	111.953 	AngleWheelMust1: 	114.643 	AngleWheelMust0: 	179.674 	AngleAxisIs1: 	145.71 	AngleAxisIs0: 	110.25 	AngleWheelIs1: 	179.039 	AngleWheelIs0: 	112.381 	PositionError1: 	0.63472 	PositionError0: 	2.26104 	CurrentMust0: 	217 	CurrentIs0: 	218 	CurrentMust1: 	-171 	CurrentIs1: 	-169 	
ArmModuleId: 	0 	Time: 	4282310 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	7 	D1: 	7 	time_before_control_loop: 	3167275641 	time_after_control_loop: 	3167301737 	T_diff: 	26096 	AngleAxisMust1: 	138.297 	AngleAxisMust0: 	146.185 	AngleWheelMust1: 	122.139 	AngleWheelMust0: 	154.455 	AngleAxisIs1: 	133.11 	AngleAxisIs0: 	147.69 	AngleWheelIs1: 	148.549 	AngleWheelIs0: 	117.671 	PositionError1: 	5.90613 	PositionError0: 	4.46704 	CurrentMust0: 	1170 	CurrentIs0: 	1171 	CurrentMust1: 	-1385 	CurrentIs1: 	-1377 	
