ArmModuleId: 	1 	Time: 	3751305 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	4115254250 	time_after_control_loop: 	4115288266 	T_diff: 	34016 	AngleAxisMust1: 	145.905 	AngleAxisMust0: 	113.528 	AngleWheelMust1: 	114.142 	AngleWheelMust0: 	177.668 	AngleAxisIs1: 	147.33 	AngleAxisIs0: 	117.72 	AngleWheelIs1: 	177.089 	AngleWheelIs0: 	117.571 	PositionError1: 	0.578217 	PositionError0: 	-3.42885 	CurrentMust0: 	-400 	CurrentIs0: 	539 	CurrentMust1: 	-116 	CurrentIs1: 	-92 	
ArmModuleId: 	0 	Time: 	3847213 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4115350133 	time_after_control_loop: 	4115381792 	T_diff: 	31659 	AngleAxisMust1: 	137.989 	AngleAxisMust0: 	145.759 	AngleWheelMust1: 	121.628 	AngleWheelMust0: 	154.35 	AngleAxisIs1: 	133.02 	AngleAxisIs0: 	148.68 	AngleWheelIs1: 	147.986 	AngleWheelIs0: 	118.054 	PositionError1: 	6.36426 	PositionError0: 	3.57264 	CurrentMust0: 	1035 	CurrentIs0: 	1028 	CurrentMust1: 	-1454 	CurrentIs1: 	-1457 	
ArmModuleId: 	1 	Time: 	3916967 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	4115419933 	time_after_control_loop: 	4115447050 	T_diff: 	27117 	AngleAxisMust1: 	146.101 	AngleAxisMust0: 	113.909 	AngleWheelMust1: 	114.521 	AngleWheelMust0: 	177.681 	AngleAxisIs1: 	145.08 	AngleAxisIs0: 	112.14 	AngleWheelIs1: 	177.506 	AngleWheelIs0: 	112.654 	PositionError1: 	0.175293 	PositionError0: 	1.86557 	CurrentMust0: 	-3 	CurrentIs0: 	-19 	CurrentMust1: 	-97 	CurrentIs1: 	-92 	
ArmModuleId: 	0 	Time: 	4003371 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4115506292 	time_after_control_loop: 	4115545392 	T_diff: 	39100 	AngleAxisMust1: 	138.242 	AngleAxisMust0: 	145.966 	AngleWheelMust1: 	121.98 	AngleWheelMust0: 	154.505 	AngleAxisIs1: 	133.11 	AngleAxisIs0: 	148.95 	AngleWheelIs1: 	147.947 	AngleWheelIs0: 	118.273 	PositionError1: 	6.55804 	PositionError0: 	3.70584 	CurrentMust0: 	1055 	CurrentIs0: 	1051 	CurrentMust1: 	-1483 	CurrentIs1: 	-1479 	
ArmModuleId: 	1 	Time: 	4072541 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	4115575546 	time_after_control_loop: 	4115607151 	T_diff: 	31605 	AngleAxisMust1: 	146.305 	AngleAxisMust0: 	114.308 	AngleWheelMust1: 	114.916 	AngleWheelMust0: 	177.695 	AngleAxisIs1: 	143.64 	AngleAxisIs0: 	110.16 	AngleWheelIs1: 	177.012 	AngleWheelIs0: 	110.268 	PositionError1: 	0.683197 	PositionError0: 	4.64676 	CurrentMust0: 	320 	CurrentIs0: 	372 	CurrentMust1: 	-151 	CurrentIs1: 	-106 	
ArmModuleId: 	0 	Time: 	4170463 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4115673386 	time_after_control_loop: 	4115706036 	T_diff: 	32650 	AngleAxisMust1: 	138.519 	AngleAxisMust0: 	146.191 	AngleWheelMust1: 	122.364 	AngleWheelMust0: 	154.674 	AngleAxisIs1: 	133.02 	AngleAxisIs0: 	148.68 	AngleWheelIs1: 	147.986 	AngleWheelIs0: 	118.054 	PositionError1: 	6.68782 	PositionError0: 	4.30901 	CurrentMust0: 	1146 	CurrentIs0: 	1149 	CurrentMust1: 	-1503 	CurrentIs1: 	-1494 	
ArmModuleId: 	1 	Time: 	4231220 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	4115734165 	time_after_control_loop: 	4115764814 	T_diff: 	30649 	AngleAxisMust1: 	146.528 	AngleAxisMust0: 	114.743 	AngleWheelMust1: 	115.347 	AngleWheelMust0: 	177.71 	AngleAxisIs1: 	144.09 	AngleAxisIs0: 	110.97 	AngleWheelIs1: 	177.075 	AngleWheelIs0: 	111.105 	PositionError1: 	0.635513 	PositionError0: 	4.2406 	CurrentMust0: 	429 	CurrentIs0: 	747 	CurrentMust1: 	-168 	CurrentIs1: 	-179 	
ArmModuleId: 	0 	Time: 	4316812 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4115819732 	time_after_control_loop: 	4115847891 	T_diff: 	28159 	AngleAxisMust1: 	138.802 	AngleAxisMust0: 	146.422 	AngleWheelMust1: 	122.757 	AngleWheelMust0: 	154.846 	AngleAxisIs1: 	133.11 	AngleAxisIs0: 	148.59 	AngleWheelIs1: 	148.119 	AngleWheelIs0: 	118.101 	PositionError1: 	6.72739 	PositionError0: 	4.65475 	CurrentMust0: 	1198 	CurrentIs0: 	1193 	CurrentMust1: 	-1509 	CurrentIs1: 	-1516 	
ArmModuleId: 	1 	Time: 	4371453 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	4115874386 	time_after_control_loop: 	4115904460 	T_diff: 	30074 	AngleAxisMust1: 	146.757 	AngleAxisMust0: 	115.188 	AngleWheelMust1: 	115.787 	AngleWheelMust0: 	177.726 	AngleAxisIs1: 	146.88 	AngleAxisIs0: 	114.48 	AngleWheelIs1: 	178.188 	AngleWheelIs0: 	115.572 	PositionError1: 	-0.4617 	PositionError0: 	0.213959 	CurrentMust0: 	169 	CurrentIs0: 	748 	CurrentMust1: 	-82 	CurrentIs1: 	-106 	
ArmModuleId: 	0 	Time: 	4462258 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4115965164 	time_after_control_loop: 	4115990898 	T_diff: 	25734 	AngleAxisMust1: 	139.075 	AngleAxisMust0: 	146.644 	AngleWheelMust1: 	123.136 	AngleWheelMust0: 	155.013 	AngleAxisIs1: 	133.11 	AngleAxisIs0: 	149.04 	AngleWheelIs1: 	147.904 	AngleWheelIs0: 	118.316 	PositionError1: 	7.10902 	PositionError0: 	4.81889 	CurrentMust0: 	1222 	CurrentIs0: 	1201 	CurrentMust1: 	-1566 	CurrentIs1: 	-1560 	
ArmModuleId: 	1 	Time: 	4528616 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	4116031538 	time_after_control_loop: 	4116059545 	T_diff: 	28007 	AngleAxisMust1: 	146.977 	AngleAxisMust0: 	115.617 	AngleWheelMust1: 	116.213 	AngleWheelMust0: 	177.741 	AngleAxisIs1: 	149.4 	AngleAxisIs0: 	120.87 	AngleWheelIs1: 	177.654 	AngleWheelIs0: 	121.146 	PositionError1: 	0.0867157 	PositionError0: 	-4.93394 	CurrentMust0: 	-316 	CurrentIs0: 	-180 	CurrentMust1: 	-120 	CurrentIs1: 	-99 	
ArmModuleId: 	0 	Time: 	4621468 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4116124388 	time_after_control_loop: 	4116161743 	T_diff: 	37355 	AngleAxisMust1: 	139.388 	AngleAxisMust0: 	146.899 	AngleWheelMust1: 	123.571 	AngleWheelMust0: 	155.204 	AngleAxisIs1: 	133.11 	AngleAxisIs0: 	148.95 	AngleWheelIs1: 	147.947 	AngleWheelIs0: 	118.273 	PositionError1: 	7.25729 	PositionError0: 	5.29715 	CurrentMust0: 	1294 	CurrentIs0: 	1304 	CurrentMust1: 	-1588 	CurrentIs1: 	-1582 	
ArmModuleId: 	1 	Time: 	4689809 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	4116192761 	time_after_control_loop: 	4116224930 	T_diff: 	32169 	AngleAxisMust1: 	147.23 	AngleAxisMust0: 	116.11 	AngleWheelMust1: 	116.701 	AngleWheelMust0: 	177.758 	AngleAxisIs1: 	149.76 	AngleAxisIs0: 	121.77 	AngleWheelIs1: 	177.584 	AngleWheelIs0: 	121.936 	PositionError1: 	0.174057 	PositionError0: 	-5.23582 	CurrentMust0: 	-504 	CurrentIs0: 	-475 	CurrentMust1: 	-132 	CurrentIs1: 	-166 	
ArmModuleId: 	0 	Time: 	4794105 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4116297029 	time_after_control_loop: 	4116328515 	T_diff: 	31486 	AngleAxisMust1: 	139.766 	AngleAxisMust0: 	147.208 	AngleWheelMust1: 	124.097 	AngleWheelMust0: 	155.435 	AngleAxisIs1: 	133.02 	AngleAxisIs0: 	148.95 	AngleWheelIs1: 	147.857 	AngleWheelIs0: 	118.183 	PositionError1: 	7.57805 	PositionError0: 	5.91231 	CurrentMust0: 	1386 	CurrentIs0: 	1393 	CurrentMust1: 	-1636 	CurrentIs1: 	-1627 	
ArmModuleId: 	1 	Time: 	4854185 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	4116357122 	time_after_control_loop: 	4116388085 	T_diff: 	30963 	AngleAxisMust1: 	147.535 	AngleAxisMust0: 	116.705 	AngleWheelMust1: 	117.29 	AngleWheelMust0: 	177.779 	AngleAxisIs1: 	147.24 	AngleAxisIs0: 	116.64 	AngleWheelIs1: 	177.515 	AngleWheelIs0: 	116.965 	PositionError1: 	0.263626 	PositionError0: 	0.324493 	CurrentMust0: 	-140 	CurrentIs0: 	-473 	CurrentMust1: 	-146 	CurrentIs1: 	-159 	
ArmModuleId: 	0 	Time: 	4946201 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4116449135 	time_after_control_loop: 	4116476699 	T_diff: 	27564 	AngleAxisMust1: 	140.108 	AngleAxisMust0: 	147.486 	AngleWheelMust1: 	124.571 	AngleWheelMust0: 	155.644 	AngleAxisIs1: 	133.11 	AngleAxisIs0: 	148.86 	AngleWheelIs1: 	147.99 	AngleWheelIs0: 	118.23 	PositionError1: 	7.65369 	PositionError0: 	6.34014 	CurrentMust0: 	1451 	CurrentIs0: 	1467 	CurrentMust1: 	-1648 	CurrentIs1: 	-1656 	
