ArmModuleId: 	1 	Time: 	3617867 	P0: 	130 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3649339437 	time_after_control_loop: 	3649367024 	T_diff: 	27587 	AngleAxisMust1: 	138.847 	AngleAxisMust0: 	119.176 	AngleWheelMust1: 	109.783 	AngleWheelMust0: 	167.91 	AngleAxisIs1: 	138.87 	AngleAxisIs0: 	120.51 	AngleWheelIs1: 	167.296 	AngleWheelIs0: 	110.444 	PositionError1: 	0.614014 	PositionError0: 	-0.661636 	CurrentMust0: 	-86 	CurrentIs0: 	-100 	CurrentMust1: 	-79 	CurrentIs1: 	-39 	
ArmModuleId: 	0 	Time: 	3697177 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3649418735 	time_after_control_loop: 	3649455517 	T_diff: 	36782 	AngleAxisMust1: 	134.326 	AngleAxisMust0: 	143.254 	AngleWheelMust1: 	116.767 	AngleWheelMust0: 	151.884 	AngleAxisIs1: 	129.96 	AngleAxisIs0: 	145.62 	AngleWheelIs1: 	146.388 	AngleWheelIs0: 	113.532 	PositionError1: 	5.49561 	PositionError0: 	3.2345 	CurrentMust0: 	646 	CurrentIs0: 	674 	CurrentMust1: 	-1373 	CurrentIs1: 	-1376 	
ArmModuleId: 	1 	Time: 	3766898 	P0: 	130 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3649488472 	time_after_control_loop: 	3649522590 	T_diff: 	34118 	AngleAxisMust1: 	139.048 	AngleAxisMust0: 	119.473 	AngleWheelMust1: 	110.126 	AngleWheelMust0: 	167.969 	AngleAxisIs1: 	137.79 	AngleAxisIs0: 	119.07 	AngleWheelIs1: 	166.904 	AngleWheelIs0: 	108.676 	PositionError1: 	1.06497 	PositionError0: 	1.4493 	CurrentMust0: 	188 	CurrentIs0: 	153 	CurrentMust1: 	-138 	CurrentIs1: 	-153 	
ArmModuleId: 	0 	Time: 	3872566 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3649594135 	time_after_control_loop: 	3649630916 	T_diff: 	36781 	AngleAxisMust1: 	134.613 	AngleAxisMust0: 	143.486 	AngleWheelMust1: 	117.166 	AngleWheelMust0: 	152.061 	AngleAxisIs1: 	130.05 	AngleAxisIs0: 	145.8 	AngleWheelIs1: 	146.392 	AngleWheelIs0: 	113.708 	PositionError1: 	5.66872 	PositionError0: 	3.45679 	CurrentMust0: 	691 	CurrentIs0: 	718 	CurrentMust1: 	-1417 	CurrentIs1: 	-1435 	
ArmModuleId: 	1 	Time: 	3951348 	P0: 	130 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3649672936 	time_after_control_loop: 	3649704818 	T_diff: 	31882 	AngleAxisMust1: 	139.306 	AngleAxisMust0: 	119.854 	AngleWheelMust1: 	110.566 	AngleWheelMust0: 	168.045 	AngleAxisIs1: 	137.97 	AngleAxisIs0: 	119.52 	AngleWheelIs1: 	166.869 	AngleWheelIs0: 	109.071 	PositionError1: 	1.17578 	PositionError0: 	1.49442 	CurrentMust0: 	194 	CurrentIs0: 	262 	CurrentMust1: 	-152 	CurrentIs1: 	-186 	
ArmModuleId: 	0 	Time: 	4050408 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3649771966 	time_after_control_loop: 	3649804129 	T_diff: 	32163 	AngleAxisMust1: 	134.926 	AngleAxisMust0: 	143.737 	AngleWheelMust1: 	117.598 	AngleWheelMust0: 	152.253 	AngleAxisIs1: 	129.96 	AngleAxisIs0: 	145.71 	AngleWheelIs1: 	146.345 	AngleWheelIs0: 	113.575 	PositionError1: 	5.90797 	PositionError0: 	4.02218 	CurrentMust0: 	804 	CurrentIs0: 	807 	CurrentMust1: 	-1476 	CurrentIs1: 	-1464 	
ArmModuleId: 	1 	Time: 	4114269 	P0: 	130 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3649835892 	time_after_control_loop: 	3649871063 	T_diff: 	35171 	AngleAxisMust1: 	139.586 	AngleAxisMust0: 	120.268 	AngleWheelMust1: 	111.044 	AngleWheelMust0: 	168.127 	AngleAxisIs1: 	138.96 	AngleAxisIs0: 	121.41 	AngleWheelIs1: 	166.956 	AngleWheelIs0: 	110.964 	PositionError1: 	1.17111 	PositionError0: 	0.0789871 	CurrentMust0: 	10 	CurrentIs0: 	-12 	CurrentMust1: 	-152 	CurrentIs1: 	-153 	
ArmModuleId: 	0 	Time: 	4208343 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3649929906 	time_after_control_loop: 	3649963647 	T_diff: 	33741 	AngleAxisMust1: 	135.228 	AngleAxisMust0: 	143.98 	AngleWheelMust1: 	118.016 	AngleWheelMust0: 	152.439 	AngleAxisIs1: 	130.05 	AngleAxisIs0: 	145.71 	AngleWheelIs1: 	146.435 	AngleWheelIs0: 	113.665 	PositionError1: 	6.00383 	PositionError0: 	4.35013 	CurrentMust0: 	870 	CurrentIs0: 	880 	CurrentMust1: 	-1500 	CurrentIs1: 	-1501 	
ArmModuleId: 	1 	Time: 	4274421 	P0: 	130 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3649996034 	time_after_control_loop: 	3650022975 	T_diff: 	26941 	AngleAxisMust1: 	139.856 	AngleAxisMust0: 	120.668 	AngleWheelMust1: 	111.506 	AngleWheelMust0: 	168.207 	AngleAxisIs1: 	139.23 	AngleAxisIs0: 	122.04 	AngleWheelIs1: 	166.925 	AngleWheelIs0: 	111.535 	PositionError1: 	1.28168 	PositionError0: 	-0.030098 	CurrentMust0: 	-3 	CurrentIs0: 	-4 	CurrentMust1: 	-166 	CurrentIs1: 	-166 	
ArmModuleId: 	0 	Time: 	4387635 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3650109197 	time_after_control_loop: 	3650141587 	T_diff: 	32390 	AngleAxisMust1: 	135.591 	AngleAxisMust0: 	144.273 	AngleWheelMust1: 	118.519 	AngleWheelMust0: 	152.663 	AngleAxisIs1: 	129.96 	AngleAxisIs0: 	145.71 	AngleWheelIs1: 	146.345 	AngleWheelIs0: 	113.575 	PositionError1: 	6.3176 	PositionError0: 	4.94337 	CurrentMust0: 	988 	CurrentIs0: 	1013 	CurrentMust1: 	-1579 	CurrentIs1: 	-1568 	
